product_id,category,product_title,brand,model,features,price,rating,review_count,image_url
B0DL6YSGZ4,Mouse,Apple Magic Mouse - White Multi-Touch Surface - USB-C ,Apple,Magic Mouse,"Brand Apple Manufacturer Apple, Apple Series Magic Mouse Colour White Item Height 0.1 Centimeters Item Width 7.4 Centimeters Product Dimensions 13 x 7.4 x 0.1 cm; 238 g Batteries 1 Lithium Ion batteries required. (included) Item model number MXK53ZM/A Are Batteries Included Yes Lithium Battery Energy Content 7.07 Watt Hours Number of Lithium Ion Cells 1 Manufacturer Apple Country of Origin China Item Weight 238 g",7500.0,3.5,46,https://m.media-amazon.com/images/I/21P-5RKWVNL._SX300_SY300_QL70_ML2_.jpg
B0CSLDFS57,Mouse,"Apple Magic Mouse (for Bluetooth-Enabled Mac with OS X 10.11 or Later, iPad with iPadOS 13.4 or Later)",Apple,Magic Mouse,"Brand Apple Manufacturer Apple, Apple Inc, One Apple Park Way, Cupertino, CA 95014, USA. or Apple India Private Limited No.24, 19th floor, Concorde Tower C, UB City, Vittal Mallya Road, Bangalore - 560 001 Series Magic Mouse Colour White Item Height 0.1 Centimeters Item Width 7.4 Centimeters Product Dimensions 13 x 7.4 x 0.1 cm; 99 g Batteries 1 Lithium Ion batteries required. (included) Item model number MK2E3HN/A Power Source Battery Powered Operating System Mac Average Battery Life (in hours) 1 Months Are Batteries Included Yes Lithium Battery Energy Content 7.07 Watt Hours Lithium Battery Weight 0.19 Grams Number of Lithium Ion Cells 15 Number of Lithium Metal Cells 1 Included Components Apple Magic Mouse Manufacturer Apple Country of Origin China Item Weight 99 g",6799.0,4.5,1166,https://m.media-amazon.com/images/I/211GvbN9BYL._SX300_SY300_QL70_ML2_.jpg
B0DL74RTZN,Mouse,Apple Magic Mouse - Black Multi-Touch Surface  - USB-C,Apple,Magic Mouse,Manufacturer Apple Country of Origin China Item model number MXK63ZM/A Product Dimensions 13 x 7.4 x 0.1 cm; 238 g ASIN B0DL74RTZN,9500.0,4.8,16,https://m.media-amazon.com/images/I/21T-vFtbMTL._SY445_SX342_QL70_ML2_.jpg
B0CQJTBRJW,Mouse,"Offbeat - Atom Dual Bluetooth 5.1+5.1 & 2.4Ghz Wireless, Type-C Rechargeable Silent Click Mouse, Triple Device connectivity Windows, Mac, iOS, Android",Offbeat,ATOM white,"Brand Offbeat Manufacturer Offbeat, 7880121231 Model ATOM White Model Name ATOM White Product Dimensions 11 x 6 x 0.1 cm; 110 g Batteries 1 Lithium Polymer batteries required. (included) Item model number ATOM White Operating System Linux, Windows, iOS, Android Hardware Platform PC Compatible Devices Laptop, Smart TV, Ipad, Tablet, Mobile, Macbook Special Features Rechargeable Number of items 4 Power Source usb Battery Average Life 12 Months Batteries Included Yes Batteries Required Yes Battery cell composition Lithium Polymer Connector Type Bluetooth Movement Detection Technology Optical Hand Orientation Ambidextrous Manufacturer Offbeat Item Weight 110 g",1490.0,4.1,602,https://m.media-amazon.com/images/I/21yhfE+DeyL._SX300_SY300_.jpg
B0CJ6QCLGY,Mouse,"amazon basics Rechargeable Wireless Mouse with RGB LED Backlit 1600 DPI Ergonomic Mouse for Laptop, PC",amazon basics,Universal,"Brand amazon basics Manufacturer DONGGUAN ARCHER TECHNOLOGY LIMITED, DONGGUAN ARCHER TECHNOLOGY LIMITED Building 25, No . 77, Shilong Road, Guancheng Street, Dongguan City, Guangdong Province Colour White Item Height 10 Centimeters Item Width 50 Millimeters Product Dimensions 15 x 5 x 10 cm; 65 g Batteries 1 Lithium Ion batteries required. (included) Power Source Battery Powered Hardware Platform Laptop Operating System Linux, Windows XP, Windows 7 Are Batteries Included Yes Lithium Battery Energy Content 2.6 Watt Hours Number of Lithium Ion Cells 7 Number of Lithium Metal Cells 7 Manufacturer DONGGUAN ARCHER TECHNOLOGY LIMITED Country of Origin China Item Weight 65 g",549.0,3.8,1416,https://m.media-amazon.com/images/I/31+ZBc9nRhL._SY300_SX300_.jpg
B071YZJ1G1,Mouse,"Logitech MX Master 2S Bluetooth Edition Wireless Mouse, Multi-Surface, Hyper-Fast Scrolling, Ergonomic, Rechargeable, Connects Up to 3 Mac/PC Computers",Logitech,MX Master 2S bluetooth edition,"Brand Logitech Manufacturer Logitech, Logitech Asia Pacific Ltd, Unit no. 1003, Tower 1, Cheung Sha Wan Plaza, Cheung Sha Wan Road, Kowloon, Hong Kong. Model 2017 Model Model Name MX Master 2S bluetooth edition Model Year 2018 Product Dimensions 4.83 x 8.56 x 12.45 cm; 145 g Batteries 1 CR123A batteries required. (included) Item model number 2017 Model Operating System Mac,Windows Hardware Platform laptop/pc/mac/ipad Hardware Interface Bluetooth Compatible Devices Laptop, Personal Computer Special Features Wireless , Rechargeable , Lightweight Mounting Hardware Mouse, Receiver, User Guide Number of items 1 Colour Screen No Aspect Ratio Unknown Power Source Battery Powered,Corded Electric Battery Average Life 70 Days Batteries Included Yes Batteries Required Yes Battery cell composition Lithium Polymer Wireless Type Bluetooth Connector Type Wireless Movement Detection Technology darkfield high precision Material Glass Hand Orientation Right Does it contain liquid? No Has Auto Focus No Includes Rechargeable Battery No Programmable Buttons No Manufacturer Logitech Country of Origin China Item Weight 145 g",4995.0,4.3,14948,https://m.media-amazon.com/images/I/31vy6WmdMWL._SX300_SY300_QL70_ML2_.jpg
B0BRJ7QX33,Laptop Bags,"DYAZO 15"" to 15.6 Inch Laptop Sleeve/Cover with Handle & Two Front Accessories Pockets Compatible for Apple, Dell, Lenovo, Asus, Hp, Samsung, Mi, MacBook and Other Notbooks (Grey)",Dyazo,Unknown Brand,"Brand Dyazo Manufacturer Dyazo, Dyazo F 15 Ground Floor Okhala Phase 1 new Delhi 110020 customer care 7270000727 Colour Grey Form Factor Sleeve Item Height 27 Centimeters Item Width 3.8 Centimeters Product Dimensions 36 x 3.8 x 27 cm; 135 g Are Batteries Included No Included Components laptop sleeve Manufacturer Dyazo Country of Origin China Item Weight 135 g",299.0,4.2,653,https://m.media-amazon.com/images/I/41n6NLjSS7L._SX300_SY300_QL70_ML2_.jpg
B09BFV96TS,Laptop Bags,"Dyazo Water Resistant Laptop Sleeve with Handle Compatible for 15 Inch to 15.6"" Inches laptops & Notebooks - Grey",Dyazo,DZ 471,"Brand Dyazo Manufacturer DYAZO, Alliance Trade Links 38 2nd floor Dsidc Okhala phase 1 new delhi 110048 Model DZ 471 Model Name DZ 471 Product Dimensions 30 x 3 x 39 cm; 190 g Item model number DZ 471 Compatible Devices Laptops Special Features Laptop Compartment, Cell Phone Holder, Water Resistant Mounting Hardware Laptop Sleeve Number of items 1 Standing screen display size 15.6 Inches Batteries Included No Batteries Required No Material Oxford Fabric Form Factor Sleeve Device type Pouch Manufacturer DYAZO Country of Origin China Item Weight 190 g",299.0,4.3,12377,https://m.media-amazon.com/images/I/4154nCPCBaL._SX300_SY300_QL70_ML2_.jpg
B091NY46Z3,Laptop Bags,KBBRD Bennett Khadi + Polyester Drax Laptops Bag Sleeve Case Cover Pouch for 15.6 Inches 39Cm Laptop Apple/Dell/Lenovo/Asus/Hp/Samsung/Mi/MacBook/Ultrabook/Thinkpad/Idea Pad/Surfacepro (Grey),KBBRD,Drax,"Brand KBBRD Manufacturer Texcoco Enterprises, Texcoco Enterprices, 9958166528 Series Drax Sleeve Colour Grey Form Factor Cover Item Height 20 Millimeters Item Width 39 Centimeters Standing screen display size 15.6 Inches Product Dimensions 29 x 39 x 2 cm; 479 g Item model number Drax Are Batteries Included No Included Components Laptop Sleeve Manufacturer Texcoco Enterprises Country of Origin India Item Weight 479 g",299.0,4.1,6590,https://m.media-amazon.com/images/I/41TtI0esokL._SX300_SY300_QL70_ML2_.jpg
B0BPD9T6Y8,Laptop Bags,"ProElite Polyester Sleeve Case Cover 13"" to 14"" for Samsung Galaxy Tab S9/S8 Ultra 14.6 inch, 13-13.3 inch Notebook, Compatible with MacBook Air/Pro 14 inch A2442, iPad Pro 12.9, Dark Grey",ProElite,PolysterPUsleeve11.5,"Brand ProElite Manufacturer ProElite, 9716083089 Colour Dark Grey Form Factor Sleeve Item Height 2 Centimeters Item Width 14.5 Centimeters Product Dimensions 21.5 x 14.5 x 2 cm; 150 g Item model number PolysterPUsleeve11.5 Are Batteries Included No Included Components Tablet sleeve Manufacturer ProElite Country of Origin China Item Weight 150 g",698.0,4.4,151,https://m.media-amazon.com/images/I/41IRInmbBnL._SX300_SY300_QL70_ML2_.jpg
